أسس=تأسيس
تبلبل=تبلبل
تَبَوَّأَ=تبوّؤ
عَلِمَ=علم
( مص. وَصَمَ=وصم
(اِسْمُ الْمَرَّةِ مِنَ الصَّحْوِ=صحوة
(اِسْمُ الْمَرَّةِ مِنَ الغَلَطِ=غلطة
(اِسْمُ الْمَرَّةِ مِنْ خَفَقَ=خفقة
(اِسْمُ الْمَرَّةِ مِنْ دارَ=دورة
(اِسْمُ الْمَرَّةِ مِنْ راحَ=روحة
(اِسْمُ الْمَرَّةِ مِنْ رَكَلَ=ركلة
(اِسْمُ الْمَرَّةِ مِنَ رَنَّ=رنّة
(اسْمُ الْمَرَّةِ مِنْ كَوَى=كيّة
(اِسْمُ الْمَرَّةِ مِنْ نَجَا=نجوة
(اسْمُ الْمَرَّةِ مِنْ نَدَا=ندوة
(اِسْمُ الْمَرَّةِ مِنْ: بَتٌّ=بتّة|بتّة، البتّة
(اِسْمُ مَصْدَرٍ مِنَ الإدْرَاكِ=درك
(اِسْمٌ مِن ارْتَوَى الشَّجَرُ=ريّ
(اِسْمٌ مِنَ الجُرْحِ=جرح
(اِسْمٌ مِنَ اللِّقاءِ=تمحّص
. سَخَرَ=سخريّ
. سَنِيَ=سناء
الْمَرَّة=وردة
الْمَرَّة=إيماءة
تَوَشَّحَ=توشّح
جَرِذَ=جرذ
رَعَنَ=رعونة
صِنَاعِيٌّ=عضويّة
ضَرَعَ=ضرع
طاسَ=طوس
عَبَّ=عباب
عَرُبَ=عروبة
عَرَفَ=عرفان
فَضَلَ=فضول
نَبَرَ=نبر
نَجَا=نجو
نَجَزَ=نجز
نَجَمَ=نجم|نجم، ة
نَجَمَ=نجمة
نَدِيَ=ندى
هَمَجَ=همج
(مص: أَكْثَرَ=إكثار
آب=مآب
آبَ=أوب
آبَ=إياب
آتَى=مؤاتاة
آثَرَ=إيثار
آجَرَ=إيجار
آخَذَ=مؤاخذة
آخَى=إخاء
آخَى=مؤاخاة
آرَبَ=مؤاربة
آزَرَ=مؤازرة
آسَى=مؤاساة
آل=مآل
آلَ=أول
آلَ=إيالة
آلَفَ=إيلاف
آلَفَ=مؤالفة
آمَرَ=مؤامرة
آمَنَ=إيمان
آن=أين
آنَ=أون
آنَسَ=إيناس
آوَى=إيواء
أبَا، يَأْبُو=أبوّة
أبَاتَ=إباتة
أبَاحَ=إباحة
أبَادَ=إبادة
أبَانَ=إبانة
أبْحَرَ=إبحار
أَبَّدَ=تأبيد
أبِدَ.=أبد
أبْدَعَ=إبداع
أبدل=إبدال
أبْدَى=إبداء
أبَرَّ=إبرار
أَبْرَحَ=إبراح
أَبْرَزَ=إبراز
أَبْرَقَ=إبراق
أَبْرَمَ=إبرام
أبْصَرَ=إبصار
أَبْطَأَ=إبطاء
أَبْطَلَ=إبطال
أبْعَدَ=إبعاد
أبْغَضَ=إبغاض
أَبْغَى=إبغاء
أَبْقَى=إبقاء
أَبْكَرَ=إبكار
أَبْكَى=إبكاء
أَبْلَجَ=إبلاج
أَبْلَغَ=إبلاغ
أَبْلَى=إبلاء
أَبَّنَ=تأبين
أبْهَجَ=إبهاج
أبْهَرَ=إبهار
أَبْهَظَ=إبهاظ
أَبْهَمَ.=إبهام
أبْهَى=إبهاء
أبَى=إباء
أَتَاحَ=إتاحة
أَتْبَعَ=إ‏تباع
أَتْجَرَ=إتجار
أتْحَفَ=إتحاف
أَتْخَمَ=إتخام
أَتْرَحَ=إتراح
أتْرعَ=إتراع
أتَرَفَ=إتراف
أَتْعَبَ=إتعاب
أَتْقَنَ=إتقان
أَتْلَفَ=إتلاف
أَتَمَّ=إتمام
أَتَى=إتيان
أَثَابَ=إثابة
أَثَارَ=إثارة
أثْبَتَ=إثبات
أَثْخَنَ=إثخان
أَثَّرَ=تأثير
أَثْرَى=إثراء
أَثَّفَ=تأثيف
أثْقَلَ=إثقال
أَثلَثَ=إثلاث
أَثْلَجَ=إثلاج
أَثِمَ=إثم
أَثْمَرَ=إثمار
أجَّ=أجيج
أَجَادَ=إجادة
أَجَارَ=إجارة
أجَازَ=إجازة
أَجاعَ=إجاعة
أَجَالَ=إجالة
أَجْبَرَ=إجبار
أَجَّجَ=تأجيج
أجْحَفَ=إجحاف
أجْدَبَ=إجداب
أجْذَمَ=إجذام
أَجَّرَ=تأجير
أجْرَسَ=إجراس
أجْرَمَ=إجرام
أَجْرَى=إجراء
أجْزَلَ=إجزال
أجْزَى=إجزاء
أجْفَلَ=إجفال
أجَلَّ=إجلال
أَجَّلَ=تأجيل
أَجْلَبَ=إجلاب
أجْلَى=إجلاء
أَجْمَعَ=إجماع
أَجْمَلَ=إجمال
أجْنَحَ=إجناح
أَجْهَدَ=إجهاد
أجْهَرَ=إجهار
أَجْهَزَ=إجهاز
أجْهَشَ=إجهاش
أجْهَضَ=إجهاض
أَجْهَمَ=إجهام
أحَارَ=إحارة
أحَاطَ=إحاطة
أَحاقَ=إحاقة
أَحَالَ=إحالة
أحْبَسَ=إحباس
أحْبَطَ=إحباط
أحْبَكَ=إحباك
أَحْجَمَ=إحجام
أَحْدَثَ=إحداث
أحْدَقَ=إحداق
أَحْرَجَ=إحراج
أَحْرَزَ=إحراز
أحْرَقَ=إحراق
أحْرَمَ=إحرام
أحْزَنَ=إحزان
أَحَسَّ=إحساس
أحْسَنَ=إحسان
أحْصَى=إحصاء
أَحْضَرَ=إحضار
أحَقَّ=إحقاق
أحْكَمَ=إحكام
أحَلَّ=إحلال
أحْلَفَ=إحلاف
أحْمَضَ=إحماض
أحْمَى=إحماء
أحْنَى=إحناء
أَحْوَجَ=إحواج
أَحْيَا=إحياء
أخَافَ=إخافة
أخْبَرَ=إخبار
أَخْبَى=إخباء
أَخْثَرَ=إخثار
أخْجَلَ=إخجال
أَخْدَعَ=إخداع
أخَذَ=أخذ
أَخَّرَ=تأخير
أخْرَجَ=إخراج
أخْرسَ=إخراس
أخْزَى=إخزاء
أَخْصَبَ=إخصاب
أَخْضَبَ=إخضاب
أخْضَعَ=إخضاع
أخْطَرَ=إخطار
أخْفَقَ=إخفاق
أخْفى=إخفاء
أخَلَّ=إخلال
أخْلَدَ=إخلاد
أخْلَصَ=إخلاص
أخْلَفَ=إخلاف
أَخْمَدَ=إخماد
أخْنَى=إخناء
أدَارَ=إدارة
أَدَانَ=إدانة
أَدَّبَ=تأديب
أدْبَرَ=إدبار
أَدْجى=إدجاء
أَدْحَضَ=إدحاض
أَدْخَلَ=إدخال
أَدَرَّ=إدرار
أَدْرَجَ=إدراج
أَدْرَكَ=إدراك
أَدْفَأَ=إدفاء
أَدْلَى=إدلاء
أَدْمَجَ=إدماج
أَدْمَنَ=إدمان
أَدْمَى=إدماء
أَدْنَى=إدناء
أدَّى=أداء
أَذَاعَ=إذاعة
أذَاقَ=إذاقة
أَذْبَلَ=إذبال
أَذْعَنَ=إذعان
أَذْكَى=إذكاء
أَذَلَّ=إذلال
أَذِنَ=أذان
أَذِنَ=إذن
أَذْهَلَ=إذهال
أَذِيَ=أذى
أَرَاحَ=إراحة
أَرَادَ=إرادة
أراق=إراقة
أَرْبَكَ=إرباك
أَرِجَ=أريج
أَرْجَأَ=إرجاء
أَرْجَعَ=إرجاع
أَرْجَفَ=إرجاف
أَرَّخَ=تأريخ
أَرْخَمَ=إرخام
أَرْخَى=إرخاء
أَرْسَلَ=إرسال
أَرْسَى=إرساء
أَرْشَدَ=إرشاد
أَرْضَعَ=إرضاع
أَرْضَى=إرضاء
أَرْطَبَ=إرطاب
أَرْعَدَ=إرعاد
أَرْعَشَ=إرعاش
أَرْعَى=إرعاء
أَرْغَدَ=إرغاد
أَرْغَمَ=إرغام
أَرْغَى=إرغاء
أَرِقَ=أرق
أَرْقَدَ=إرقاد
أَرْقَصَ=إرقاص
أَرْكَبَ=إركاب
أَرْكَعَ=إركاع
أَرْمَى=إرماء
أَرْهَبَ=إرهاب
أَرْهَفَ=إرهاف
أَرْهَقَ=إرهاق
أَرْوَى=إرواء
أَزَّ=أزيز
أَزَاحَ=إزاحة
أَزَاغَ=إزاغة
أَزَالَ=إزالة
أَزْبَد=إزباد
أَزَرَ=أزر
أَزْعَجَ=إزعاج
أَزْكَى=إزكاء
أَزْهَقَ=إزهاق
أَسَاءَ=إساءة
أَسَالَ=إسالة
أَسْبَرَ=إسبار
أَسْبَغَ=إسباغ
أَسْدَلَ=إسدال
أَسْدى=إسداء
أَسَرَ=أسر
أَسْرَجَ=إسراج
أَسْرَعَ=إسراع
أَسْرَفَ=إسراف
أَسْرَى=إسراء
أَسْعَدَ=إسعاد
أَسْعَفَ=إسعاف
أَسِفَ=أسف
أَسْفَرَ=إسفار
أَسْقَطَ=إسقاط
أَسْكَتَ=إسكات
أَسْكَرَ=إسكار
أَسْكَنَ=إسكان
أَسْلَسَ=إسلاس
أَسْلَفَ=إسلاف
أَسْلَمَ=إسلام
أَسْمَعَ=إسماع
أَسْنَدَ=إسناد
أَسْهَبَ=إسهاب
أسْهَلَ=إسهال
أَسْهَمَ=إسهام
أَشاحَ=إشاحة
أَشادَ=إشادة
أَشارَ=إشارة
أشاعَ=إشاعة
أَشْبَعَ=إشباع
أَشْحَذَ=إشحاذ
أَشَّرَ=تأشيرة
أَشْرَبَ=إشراب
أَشْرَحَ=إشراح
أَشْرَطَ=إشراط
أَشْرَعَ=إشراع
أَشْرَفَ=إشراف
أَشْرَقَ=إشراق
أَشْرَكَ=إشراك
أَشَعَّ=إشعاع
أَشْعَرَ=إشعار
أَشْعَلَ=إشعال
أَشْغَلَ=إشغال
أَشْفَقَ=إشفاق
أَشْفَى=إشفاء
أَشْقَى=إشقاء
أَشْكَلَ=إشكال
أَشْهَرَ=إشهار
أَصابَ=إصابة
أصاتَ=إصاتة
أَصْبَحَ=إصباح
أَصْبَرَ=إصبار
أَصَحَّ=إصحاح
أَصْحَرَ=إصحار
أَصْحى=إصحاء
أَصْدَأَ=إصداء
أَصْدَرَ=إصدار
أَصَرَّ=إصرار
أَصْغَرَ=إصغار
أَصْغَى=إصغاء
أًصْفَقَ=إصفاق
أَصْقَعَ=إصقاع
أَصُلَ=أصالة
أَصَّلَ=تأصيل
أَصْلَحَ=إصلاح
أَضاءَ=إضاءة
أَضاعَ=إضاعة
أَضافَ=إضافة
أَضْجَرَ=إضجار
أَضْجَعَ=إضجاع
أَضْحَكَ=إضحاك
أَضْرَبَ=إضراب
أَضْعَفَ=إضعاف
أَضْفَى=إضفاء
أَضَلَّ=إضلال
أَضْمَرَ=إضمار
أَضْنَى=إضناء
أَطاحَ=إطاحة
أَطاعَ=إطاعة
أَطَاعَ=طاعة
أَطالَ=إطالة|‎إطالة
أَطْبَقَ=إطباق
أَطْرَبَ=إطراب
أَطْرى=إطراء
أَطْعَمَ=إطعام
أَطْفَأَ=إطفاء
أَطَلَّ=إطلال
أَطْلَعَ=إطلاع
أَطْلَقَ=إطلاق
أَطْنَبَ=إطناب
أَظَلَّ=إظلال
أَظْلَمَ=إظلام
أَظْهَرَ=إظهار
أعادَ=إعادة
أَعاذَ=إعاذة
أعارَ=إعارة
أَعاشَ=إعاشة
أَعاقَ=إعاقة
أَعالَ=إعالة
أَعانَ=إعانة
أُعْجِبَ=إعجاب
أَعْجَزَ=إعجاز
أَعْجَفَ=إعجاف
أَعْجَمَ=إعجام
أَعَدَّ=إعداد
أَعْدَمَ=إعدام
أَعْرَبَ=إعراب
أعْرَضَ=إعراض
أعَزَّ=إعزاز
أعْشَبَ=إعشاب
أعْطَبَ=إعطاب
أعْطَشَ=إعطاش
أعْطَى=إعطاء
أعْفَى=إعفاء
أعْقَمَ=إعقام
أعَلَّ=إعلال
أَعْلَمَ=إعلام
أعْلَنَ=إعلان
أعْلَى=إعلاء
أعْمَدَ=إعماد
أَعْمَرَ=إعمار
أعْمَلَ=إعمال
أعْمَى=إعماء
أعْنَدَ=إعناد
أعْيا=إعياء
أَغاثَ=إغاثة
أغَارَ=إغارة
أَغَارَ=غارة
أغَاظَ=إغاظة
أغْدَقَ=إغداق
أغْرَسَ=إغراس
أغْرَقَ=إغراق
أَغْرَى=إغراء
أَغْمَدَ=إغماد
أغمَضَ=إغماض
أغْنَى=إغناء
أَغْوَى=إغواء
أفَادَ=إفادة
أفَاضَ=إفاضة
أفْتَى=إفتاء
أفْجَعَ=افجاع
أَفْحَمَ=إفحام
أفْرَجَ=إفراج
أفْرَحَ=إفراح
أَفْرَدَ=إفراد
أفْرَزَ=إفراز
أَفْرَطَ=إفراط
أَفْرَغَ=إفراغ
أفْزَعَ=إفزاع
أفْسَدَ=إفساد
أفْشَى=إفشاء
أفْصَحَ=إفصاح
أَفْطَرَ=إفطار
أفْطَمَ=إفطام
أفْعَمَ=إفعام
أَفِقَ=أفق
أفْقَرَ=إفقار
أفِكَ=إفك
أفَلَ=أفول
أفْلَتَ=إفلات
أفْلَحَ=إفلاح
أفْلَسَ=إفلاس
أفْنَى=إفناء
أقَالَ=إقالة
أقامَ=إقامة
أَقْبَرَ=إقبار
أَقْبَلَ=إقبال
أقْحَمَ=إقحام
أقْدَمَ=إقدام
أقَرَّ=إقرار
أَقْرَأَ=إقراء
أَقْرَضَ=إقراض
أقْرَنَ=إقران
أقْصَى=إقصاء
أَقَضَّ=إقضاض
أقْطَعَ=إقطاع
أقْعَدَ=إقعاد
أقْفَرَ=إقفار
أقْفَلَ=إقفال
أقْلَعَ=إقلاع
أقْلَقَ=إقلاق
أقْنَطَ=إقناط
أقْنَعَ=إقناع
أقْوَى=إقواء
أَكَبَّ=إكباب
أكْبَرَ=إكبار
أكْحَلَ=إكحال
أَكَّدَ=تأكيد
أكْرَمَ=إكرام
أكْرَهَ=إكراه
أكْرَى=إكراء
أَكْسَبَ=إكساب
أكَسَد=أكسدة
أَكْفَأ=إكفاء
